39,유명인 영입 효과 노리는 기업들배우·가수·교수·소설가 등 연봉은 기업별로 차이 커 영화 해리포터 시리즈에서 완벽 모범생 캐릭터 헤르미온느 역을 연기한 배우 엠마 왓슨. 미국 브라운 대학을 졸업 후 UN 양성평등 홍보대사로 일하는 등 미모와 지성을 다 갖춘 것으로 유명하다. 최근에는 새로운 이력도 추가해 ‘엄친
40,배우나 아이돌은 다이어트 후 인기가 더 높아지는 일이 많습니다. 그러나 코미디언은 오히려 통통한 덕분에 인기를 끄는 경우가 많은데요. 정형돈 같은 통통한 코미디언은 굳이 살을 빼려 하지 않는 경우가 많습니다. 실제로 많은 코미디언이 다이어트 후 잊히기도 했죠. 그렇다면 요즘은 어떨까요? 다이어트로 화제 된 개그맨들의 근황을 알아보았습니다.광고로 인생 바뀐 
41,"이제 연예인의 부동산 투자 소식은 흔한 일이 되었다. 고급 빌라와 아파트부터, 수백억 원대에 이르는 빌라까지. 연예인들은 건물 유형과 가격에 관계없이 부동산 투자에 뛰어들며 빠르게 부를 축적해나간다. 반면 소위 말하는 톱스타 반열에 올랐음에도 부동산에 별다른 관심을 보이지 않는 이도 있다. 동방신기의 두 멤버, 유노윤호와 최강창민 역시 빌딩보다는 '똘똘한 "
42,"지난해 아이돌·유명인 광고 건수 2166건아이돌 팬, 스타 ‘조공’ 대신 지하철 광고 2호선 삼성·강남·홍대입구·합정역 가장 인기 삼성역 한 달에 450만원...열차 랩핑은 3000만 아이돌 팬 사이에서만 통하는 단어가 있다. ‘지광’이다. 사람 이름 같지만, 지하"
43,"인천공항 비정규직 노조 문건보니인천국제공항공사 비정규직 직접고용 결정에 대한 비난 여론을 끓어오르자,비정규직 노조가 ‘비난 여론을 잠재우기 위한 꼼수’를 담은 문건을 만들어 자기들끼리 공유하고 있다는 의혹이 온라인에서 제기됐다.​다수의 인천국제공항공사 현직자에 따르면,최근 정규직 전환이 결정된 보안 검색 요원들이 속한 A노조는 최근 3페이지 분량의 문서.."
44,​여러분 안녕하세요!해커스톡 블로그 지기입니다^0^​​영어 이름을 지을 때어떤 걸로 지어야 할까고민하게 되기 마련이죠 ㅠ_ㅠ​이 영어 이름이 어떤 뜻인지도찾아보기 쉽지 않구요...!​그래서 오늘은 인기 있는남자 영어 이름을 추천드리면서이름이 가진 뜻도 소개해 드리려고 해요!​그럼 얼른 알아보러 가 볼까요~?​​​​​내 영어실력을 파악하고 싶다면?◆무료 레벨
45,"최근 3년여 동안 공공기관(부속기관 포함)이 9만명이 넘는 비정규직과 소속외 인력을 정규직으로 전환했다. 한국전력공사 정규직 전환 인원은 8000명이 넘고, 한국도로공사도 7000명에 가깝다. 최근 정규직 전환 문제로 논란이 불거진 인천국제공항공사는 4800명으로 4위 수준이다.6월25일 공공기관 경영정보 공개 시스템인 알리오를 보면 현 정부"
46,"연일 오르고 있는 기온에 옷차림이 가벼워지는 요즘. 더 이상 숨은 군살을 모른척할 수 없는 계절이 돌아왔다. 사회적거리 두기를 실천하면서 지루하지 않은 홈트레이닝 방법을 살펴보자.게임으로 지방 cut ?!보다 활동적인 홈트를 원한다면 게임 '저스트 댄스'를 추천한다. 노래에 맞춰 안무를 따라 하는 방식으로, 아무 생각 없이 격렬하게 춤을 추다 보면 재미는 "
47,"2020 국가직 경쟁률 작년보다 낮아졌다? (ft.최신일정확인) 공무원 시험에서 경쟁률은 날이 갈수록 조금씩 하락합니다. 2020년 시험도 작년대비 경쟁률이 하락했는데요, 최신 일정 함께 알아보고 시험 준비 해보도록 합시다.1. 2020 국가직 시험일정최신 국가직 일정을 보면 9급 필기 기준 시험 장소 공고가 7월 3일 금요일 실제 시험일이 "
48,직장생활백서 화상영어 회의 – 얼굴 좀 보여주세요​안녕하세요 잇님들직장생활백서 시간입니다 오늘 직장생활백서 시간에는 화상영어 회의 에피소드를 들고 왔어요​요새 언택트(Untact)라고 해서화상 기능이 있는 앱을 이용해서화상회의를 하는 기업들이 늘어났죠 영어로 화상회의를 하면 그게화상영어 회의인데요~ 오늘은 어떤이야기와 화상영어 가 준비되어 있을지함께 만..
49,"1998년부터 3년 간 국민들을 웃기고 울렸던 SBS 일일 시트콤 ‘순풍산부인과’ 속 ‘미달이’는 언제나 똑 부러지고 당찼다. 하고 싶은 말은 반드시 해야만 했고, 가지고 싶은 것은 무슨 방법을 써서라도 가지고야 마는 아이였다. 하지만 현실 속의 미달이는 달랐다. 카메라 밖 미달이는 부모의 심한 다툼으로 인한 불안"
50,"요식업계의 대부, 백종원 백종원의 골목식당으로 예능 점령 혹평 난무, 깐깐한 솔루션 기사회생한 가게들은? 최근 인터넷상에서 “ 백종원이 최소 10명 이상 존재한다”라는 말이 돌고 있는데요. 백종원이 마치 10명 존재하는 것처럼 혼자서 많은 일을 하고 있다는 뜻으로 풀이됩니다. 이처럼 백종원은 예능 프로그램부터 가게 운영까지 쉴 틈 없이"
51,"유도선수로 활동하며 잦은 부상 스트레칭과 마사지의 중요성 느껴 '리즈핏 스틱'으로 연 매출 4억 원 상승 요가 강사, 트레이너에게도 큰 인기누구나 한 번쯤 창업을 꿈꾸기 마련이다. 그러나 마땅한 아이디어도, 개발 실력도 없는 이에게 창업은 그저 한순간의 꿈으로 전락하고 만다. 이러한 아쉬움을 딛고 자신만의 브랜드를 꾸려나간 이가 있다. 디컴퍼니 박헌석 대표"
52,"병사 자기 개발 적극 지원 나선 국방부학습 관련 비용뿐 아니라 문화 감상비도 지원 민간 교육기업과 협력해 강좌 할인 혜택 주기도 해군 복무기간 동안 자격증 15개를 딴 청년이 있다. 2019년 1월11일 전역한 해군 2함대 보급지원대 소속 김덕규 예비역 병장이다. 김 병장은 유통관리사 2급, 국제무역사 1급을 비롯해 무역·회계 분야 8개, 행정"
53,공군이 최영 전 나이스그룹 부회장 아들의 황제복무 의혹을 조사한 결과 대부분 사실과 달랐다고 24일 밝혔다. 공군본부는 지난 12일부터 이날까지 감찰조사를 실시한 결과 최모 상병이 1인실을 쓰고 특혜를 누렸다는 의혹은 사실이 아니었다고 발표했다. 1인실 사용은 최 상병과 동료 병사들 간 생활관 냉방온도 설정을 두고 발생한 갈등에서 비롯됐다는 설명이다. 먼저
54,은행 퇴직자들 대상 편의점 창업 지원사업 활발 은행은 복지 제공 반면 편의점은 예비점주 확보 ‘윈윈’ 지난 13일 경남 창원시 BNK경남은행 본점에서 진행된 ‘은행 퇴직자를 위한 창업지원 업무협약(MOU)’ 체결식에서 강인석 이마트24 상무(사진 왼쪽)와 이정원 BNK경남은행 상무가 기념촬영을 하고 있다. (사진=이마트24) 【 청년일보 】 은행과 
55,"코로나19 사태에 다양한 안면인식 서비스 봇물 구독형 서비스도 출시, “중소기업에 확산할 듯” 결제형 서비스, “결제 접촉 줄인 게 아니라 아예 없애” 인권침해 논란 지속… “산업 전체 제동 걸릴 수도” 장비렌탈업체 한국렌탈은 지난 5월 구독형 안면인증 서비스 '페이스원 언택트 서"
56,접수기간 : 2020년 5월 18일(월) ~ 2020년 7월 10일(금)제 1회 국립생태원 생태모방연구 아이디어 공모전 - 생태모방을 주제로 하는 연구 아이디어 수렴을 통해 신규 연구- 콘텐츠를 확보하고 산업계와의 연구·개발 협력 네트워크 기반을 마련하고자 「제1회 국립생태원 생태모방연구 아이디어 공모전」을 추진하오니 많은 참여 바랍니다. ■ 공모기간: 2
57,브리트니 스피어스 씹던 껌 1700만원쓰던 라이터·머리카락·코 푼 휴지도 팔려 왜 사는지 모를 이색 경매품들 반고흐와 고갱이 함께 사창가를 다녀온 경험을 담은 편지. 후기 인상파를 대표하는 두 화가의 기행을 담은 편지가 경매에서 무려 21만유로(약 2억8500만원)에 팔렸습니다. 개인에게 있던 편지 소유권이 이번 경매
58,어떤 부정도 없이 자신의 노력만으로 7억을 번 개그맨이 있습니다. 심지어 이 7억 원은 그가 단 한 개 프로그램에서 얻은 수익이었죠. 최근 매체와의 인터뷰에서 스스로를 '시청자보다 개그맨들 사이에서 더 유명하다'라고 자평한 이 개그맨은 대체 누구일까요?코미디 빅 리그의 중심 개그맨 최성민개그 프로그램이 최고 전성기를 달리던 당시부터 다소 영향력이 줄어든 지
59,오디션 프로그램은 결과 조작과 악마의 편집 등 각종 논란을 겪으면서도 여전히 인기를 끄는 예능 포맷입니다. 무엇보다도 실력은 있지만 빛을 보지 못한 실력자들을 발굴하는 기회가 된다는 점에서 큰 매력으로 다가오지요. 하지만 조건이나 배경이 아닌 오로지 실력으로만 평가받는 자리라는 점에서 오디션 프로그램은 참가자들에게 냉혹한 심판대이기도 한데요.9년 전 공중파
60,"유튜브 채널 수익 기부하는 스타들구독자들에게 기부 참여했다는 느낌 주기도실제 기부로 이어지는 등 영향력도 커​""골목상권에 침투한 대기업."" 스타들이 TV에서 유튜브로 활동 무대를 넓히면서 이런 비판이 나왔다. 대중들에게 잘 알려진 이들이 인기를 이용해 기존 유튜버나 예비 유튜버들이 설 자리를 위협한다는 의미였다. 하지만 현재는 비판이 잠잠해졌다. ..."
